Name,Handle,Category,Followers,Content Strengths,Description,Tier,Avg Engagement (Likes / Replies / Views),Audience & Vibe,Notes + Engagement Drivers
NoCodePM,@SeshingPM,EMERGING BUILDER,3K,"📝 long-form, 💬 reply-heavy",Big Tech Project Manager - Keeping the suits happy | Bringing strategy,B,~2 likes / 0 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver. Low engagement — early/casual account
Aryan,@aryanlabde,AI + CRYPTO / AGENTS,5K,"📸 images, ⭐ high-engagement","20. Now building Snibet, your go-to tool to craft bangers.",B,~86 likes / 48 replies / 3K views,"developer community + builder crowd — AI-native, agent-first energy",High engagement — established voice
Pri,@priyhhhhh,VIBECODER / BUILDER-IN-PUBLIC,3K,"😂 memes/shitposts, 💬 reply-heavy, ⭐ high-engagement",semi autistic tinkerer. chewing glass while being a vibe coder,B,~10 likes / 0 replies / 0K views,developer community + builder crowd — casual vibe coder,Reply-heavy account — conversation driver
clarissa,@0xCL4R,EMERGING BUILDER,1K,"📸 images, 😂 memes/shitposts, 📝 long-form",ece + biz-econ @ ucsd | revamping indonesia s study abroad scene,C,~9 likes / 1 replies / 0K views,"developer community + hackathon crowd — early-stage, learning-in-public",Media posts outperform text
Yash Atreya,@YashAtreya,AI + CRYPTO / AGENTS,1K,📝 long-form,"@usebeampay // prev. @ithacaxyz, @paradigm",C,~8 likes / 1 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text
ANIRUDDHA ADAK,@aniruddhadak,AI + CRYPTO / AGENTS,360,"📹 videos/media, 📝 long-form","I test and share all the latest updates on AI, AI agents,",C,~3 likes / 0 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text
NoCodePM,@SeshingPM,EMERGING BUILDER,3K,"📝 long-form, 💬 reply-heavy",Big Tech Project Manager - Keeping the suits happy | Bringing strategy,B,~2 likes / 0 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver. Low engagement — early/casual account
Tadej Stanic,@tadejstanic,BUILDER-IN-PUBLIC,3K,💬,"Software Engineer. Pragmatic by nature, AI-augmented by choice.",B,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Austin Roy #SurvivingClearlake,@AustinRoy007,BUILDER-IN-PUBLIC,2K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",That PC Guy,B,~10 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Nvidia RTX, hope you're running models because this is too g..."""
Hamza Nasir,@Hamzanasirr,BUILDER-IN-PUBLIC,1K,💬,The Big Data Lad ( @thebigdatalad ) Sr. Data Engineer at @systems_limited,C,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Kevin Jordan,@kevin_jordan__,BUILDER-IN-PUBLIC,5K,"🧵 threads, 😂 memes/shitposts, 📝 long-form",Founder @ActimateAI | Building a proactive AI accountability productivity app to help,B,~45 likes / 1 replies / 1K views,developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Russell Fradin,@rfradin,BUILDER-IN-PUBLIC,8K,"📹 videos/media, 📝 long-form",CEO / co-founder @larridin Previously founded / built / sold DynamicSignal &,B,~3 likes / 0 replies / 0K views,Solana devs + builder crowd — build-in-public hustle,Media posts outperform text
Klaas,@forgebitz,AI + CRYPTO / AGENTS,24K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Promptwatch,A,~907 likes / 62 replies / 46K views,"developer community + builder crowd — AI-native, agent-first energy",High engagement — established voice
Joshua Martin,@Jbm_dev,BUILDER-IN-PUBLIC,2K,"📝 long-form, ⭐ high-engagement",Full-stack Dev | 3x Founder | $18M Revenue | Building Sansa: Better,B,~60 likes / 64 replies / 4K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
Eric,@absol_89,EMERGING BUILDER,549,"📝 long-form, 💬 reply-heavy","Sr. QA Manager, I enjoy sustainable designs, tech & competitive games. Opinions",C,~3 likes / 1 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver
Brandon Pizzacalla,@bpizzacalla,EMERGING BUILDER,5K,💬,I rebuild enterprise software companies from the ground up with AI.,B,No recent posts,"developer community + builder crowd — early-stage, learning-in-public",Low activity — limited data
Sergio Gil,@seergioo_gil,BUILDER-IN-PUBLIC,1K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",AI generated content is the future of social media | producing Faceless,B,~56 likes / 5 replies / 4K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Dev,@thedevchandra,MARKETING / BUILDER,1K,"💬 short tweets, ⭐ high-engagement",Founder & CEO @ @StartupIntros Associate @ Context VC Engineering Officer @,B,~21 likes / 13 replies / 0K views,"developer community + builder crowd — growth-focused, strategic","Top post: ""9/10 startups fail because foundees start with product  Star..."""
Shruti Saagar,@ShrutiSaagar,MARKETING / BUILDER,405,"📸 images, 📝 long-form",Amplifying image + video generation for creators using an infinite canvas. said,C,~4 likes / 0 replies / 0K views,"developer community + builder crowd — growth-focused, strategic","Top post: ""what a productive day looks like  1hr workout 2k lines shipp..."""
Mehul Mohan,@mehulmpt,BUILDER-IN-PUBLIC,27K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",running @fermionapp / covering tech and programming on youtube,A,~340 likes / 11 replies / 25K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Andrew Clark,@acdlite,EMERGING BUILDER,73K,💬,"@reactjs core team, @nextjs, @vercel. Hi!",B,No recent posts,"developer community + builder crowd — early-stage, learning-in-public",Low activity — limited data
Valentin Ignatev,@valigo,EMERGING BUILDER,7K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","programmer, speedrunner, father, immigrant alt: @valigo_ru | |",A,~475 likes / 14 replies / 24K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. High engagement — established voice
Giyu,@rutu_3,BUILDER-IN-PUBLIC,4K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",23 | Software Dev Engineer | Highly Into Tech | Building stuffs,B,~88 likes / 13 replies / 3K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Burak Eregar,@burakeregar,VIBECODER / BUILDER-IN-PUBLIC,7K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",indie dev building in public travelling the world - secure your vibecoded,A,~29 likes / 8 replies / 6K views,developer community + builder crowd — casual vibe coder,Media posts outperform text
Anubhav,@Anubhavhing,BUILDER-IN-PUBLIC,7K,"📹 videos/media, 📝 long-form","22, CoFounder at @ignytlabs We make successful MVP's for Ambitious Founder's. talking",B,~9 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
patagucci perf papi,@kenwheeler,BUILDER-IN-PUBLIC,65K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement","founder @ WheelerDefense, practically irresistible. violently suburban. sealand nobleman. forklift c",A,~530 likes / 16 replies / 35K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
peachey,@peach2k2,MARKETING / BUILDER,7K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement",23yo shitposter gamedev studying computer engineering (nixos btw),A,~127 likes / 6 replies / 5K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
Aaron Francis,@aarondfrancis,AI + CRYPTO / AGENTS,57K,"📹 videos/media, 📝 long-form, 💬 reply-heavy",Sincere poster. No cynicism. Dad to two sets of twins! - -,A,~499 likes / 13 replies / 15K views,"developer community + builder crowd — AI-native, agent-first energy",High engagement — established voice
Mat De Sousa,@DsMatie,MARKETING / BUILDER,32K,📝 long-form,I build Shopify apps ($600k+ per year) - I share my journey,B,~14 likes / 5 replies / 1K views,"developer community + builder crowd — growth-focused, strategic","Top post: ""Your users ask for features.  You build them.  Nobody uses t..."""
Adriksh,@Adriksh,BUILDER / CONTRIBUTOR,7K,"📹 videos/media, ⭐ high-engagement","I work with hardware, memory, timing, and build cool stuff.",A,~123 likes / 7 replies / 9K views,"developer community + builder crowd — technical, open-source energy",High engagement — established voice
Alex Goldring,@SoftEngineer,BUILDER / GAMING,2K,"📸 images, 📝 long-form, ⭐ high-engagement",Software developer. Game developer. Graphics researcher. Working primarily in 3d graphics on,B,~70 likes / 3 replies / 4K views,developer community + builder crowd — game studio founder energy,Media posts outperform text. High engagement — established voice
@martinlasek,@martinlasek,BUILDER / GAMING,4K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",$1K/M | $0K/M,B,~4 likes / 1 replies / 0K views,developer community + builder crowd — game studio founder energy,Meme/relatable posts outperform
Donn Felker,@donnfelker,AI + CRYPTO / AGENTS,30K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","software. mindset. health. fitness. discipline. helped build @groupon, @myfitnesspal, @poynt, @aapti",B,~7 likes / 1 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""This is 1000% what burnout is. I can work 70-80 hours a week..."""
Saber Amani,@_saberamani,MARKETING / BUILDER,515,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy","Building SaaS in public 20+ yrs in software, still learning daily Sharing",B,~19 likes / 17 replies / 0K views,"developer community + builder crowd — growth-focused, strategic","Top post: ""Hey @X  I'm looking to #connect with people interested in:  ..."""
Canadian Spirit,@Princeflexzy0,EMERGING BUILDER,4K,💬 reply-heavy,I'm just a dude playing a dude disguise as another dude. GGMU,B,~3 likes / 0 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver
MJCobsa | Designer Vibecoder,@mj_cobsa,MARKETING / BUILDER,321,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","I write, design and vibe. Rev $ 0 / $1,000 MRR Apps",B,~46 likes / 5 replies / 3K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Reply-heavy account — conversation driver
ily,@0xIlyy,BUILDER-IN-PUBLIC,15K,"😂 memes/shitposts, 📝 long-form, ⭐ high-engagement","swe, fighter, obsessed.",A,~851 likes / 34 replies / 32K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
